                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 3.6859,                 3.1914,                 2.7918,                 0.0039,                0.21304,                0.00876,                0.00182,                    nan,                    nan,                    nan,             5.9541e-06,             5.9541e-06,             5.9541e-06
                     84,                 3.6485,                 3.1988,                 2.7873,                0.00389,                0.21304,                 0.0101,                0.00207,                    nan,                    nan,                    nan,             5.9041e-06,             5.9041e-06,             5.9041e-06
                     85,                 3.6344,                 3.2091,                 2.7908,                 0.0461,                0.03852,                0.00985,                0.00212,                    nan,                    nan,                    nan,             5.8542e-06,             5.8542e-06,             5.8542e-06
                     86,                 3.6212,                 3.2042,                 2.7628,                0.03746,                0.03852,                0.01064,                 0.0021,                    nan,                    nan,                    nan,             5.8042e-06,             5.8042e-06,             5.8042e-06
                     87,                 3.6598,                 3.2051,                 2.8056,                0.01432,                0.14886,                0.00805,                0.00175,                    nan,                    nan,                    nan,             5.7543e-06,             5.7543e-06,             5.7543e-06
                     88,                 3.5756,                 3.2523,                 2.7676,                0.00385,                0.21169,                0.00941,                0.00201,                    nan,                    nan,                    nan,             5.7043e-06,             5.7043e-06,             5.7043e-06
                     89,                  3.648,                 3.1762,                 2.7789,                0.04719,                0.03277,                0.00909,                0.00195,                    nan,                    nan,                    nan,             5.6543e-06,             5.6543e-06,             5.6543e-06
                     90,                 3.6515,                 3.1895,                 2.7863,                0.01909,                0.13602,                 0.0095,                0.00203,                    nan,                    nan,                    nan,             5.6044e-06,             5.6044e-06,             5.6044e-06
                     91,                 3.6465,                 3.2253,                 2.7987,                0.02161,                0.09445,                0.00915,                0.00199,                    nan,                    nan,                    nan,             5.5544e-06,             5.5544e-06,             5.5544e-06
                     92,                 3.6554,                 3.1783,                  2.772,                0.00631,                0.19311,                0.00894,                0.00193,                    nan,                    nan,                    nan,             5.5045e-06,             5.5045e-06,             5.5045e-06
